story,section,direction,min_length,max_length
Level 1,HS127x127x13,south-north,4.477,6.707
Level 1,HS127x127x13,west-east,5.352,5.352
Level 2,HS127x127x13,south-north,4.477,6.707
Level 2,HS127x127x13,west-east,5.352,5.352
Level 3,HS127x127x13,south-north,4.477,6.707
Level 3,HS127x127x13,west-east,5.352,5.352
Level 4,HS127x127x13,south-north,4.48,6.709
Level 4,HS127x127x13,west-east,5.355,5.355
Level 5,HS127x127x13,south-north,4.48,6.709
Level 5,HS127x127x13,west-east,5.355,5.355
Level 6,HS127x127x13,south-north,4.48,6.709
Level 6,HS127x127x13,west-east,5.355,5.355
Level 7,HS127x127x13,south-north,4.48,6.709
Level 7,HS127x127x13,west-east,5.355,5.355
Level 8,HS127x127x13,south-north,4.48,6.709
Level 8,HS127x127x13,west-east,5.355,5.355
Level 9,HS127x127x13,south-north,4.48,6.709
Level 9,HS127x127x13,west-east,5.355,5.355
Level 10,HS127x127x9.5,south-north,4.483,6.712
Level 10,HS152x152x8.0,west-east,5.36,5.36
Level 11,HS127x127x9.5,south-north,4.483,6.712
Level 11,HS152x152x8.0,west-east,5.36,5.36
Level 12,HS127x127x9.5,south-north,4.483,6.712
Level 12,HS152x152x8.0,west-east,5.36,5.36
Level 13,HS127x127x9.5,south-north,4.483,6.712
Level 13,HS152x152x8.0,west-east,5.36,5.36
Level 14,HS127x127x9.5,south-north,4.487,6.714
Level 14,HS127x127x9.5,west-east,5.36,5.36
Level 15,HS127x127x9.5,south-north,4.487,6.714
Level 15,HS127x127x9.5,west-east,5.36,5.36
Level 16,HS114x114x9.5,south-north,4.487,6.714
Level 16,HS127x127x9.5,west-east,5.36,5.36
Level 17,HS114x114x9.5,south-north,4.487,6.714
Level 17,HS127x127x9.5,west-east,5.36,5.36
Level 18,HS114x114x9.5,south-north,4.487,6.714
Level 18,HS127x127x9.5,west-east,5.36,5.36
Level 19,HS114x114x9.5,south-north,4.489,6.716
Level 19,HS127x127x9.5,west-east,5.365,5.365
Level 20,HS102x102x8.0,west-east,5.365,5.365
Level 20,HS127x127x8.0,south-north,4.489,6.716
Level 21,HS102x102x8.0,west-east,5.365,5.365
Level 21,HS127x127x8.0,south-north,4.489,6.716
Level 22,HS102x102x8.0,west-east,5.365,5.365
Level 22,HS127x127x8.0,south-north,4.489,6.716
Level 23,HS102x102x8.0,south-north,4.489,6.716
Level 23,HS127x127x8.0,west-east,5.365,5.365
Level 24,HS102x102x8.0,south-north,4.489,6.716
Level 24,HS127x127x8.0,west-east,5.365,5.365
Level 25,HS102x102x8.0,south-north,4.489,6.716
Level 25,HS102x102x8.0,west-east,5.365,5.365
Level 26,HS102x102x8.0,south-north,4.489,6.716
Level 26,HS102x102x8.0,west-east,5.365,5.365
Level 27,HS102x102x8.0,west-east,5.371,5.371
Level 27,HS89x89x6.4,south-north,4.497,6.721
Level 28,HS102x102x8.0,west-east,5.371,5.371
Level 28,HS89x89x6.4,south-north,4.497,6.721
Level 29,HS102x102x8.0,west-east,5.374,5.374
Level 29,HS89x89x6.4,south-north,4.499,6.722
Level 30,HS102x102x8.0,west-east,5.374,5.374
Level 30,HS76x76x6.4,south-north,4.503,6.725
Level 31,HS102x102x8.0,west-east,5.374,5.374
Level 31,HS76x76x6.4,south-north,4.503,6.725
Level 32,HS102x102x8.0,west-east,5.374,5.374
Level 32,HS76x76x6.4,south-north,4.503,6.725
