story,section,min_length,max_length
Level 1 Ceiling,W200x27,2.1,8.8
Level 1 Ceiling,W310x39,10.4,12.0
Level 2 Ceiling,W200x27,2.1,8.8
Level 2 Ceiling,W310x39,10.4,12.0
Level 3 Ceiling,W200x27,2.1,8.8
Level 3 Ceiling,W310x39,10.4,12.0
Level 4 Ceiling,W200x27,2.1,8.8
Level 4 Ceiling,W310x39,10.4,12.0
Level 5 Ceiling,W200x27,2.1,8.8
Level 5 Ceiling,W310x39,10.4,12.0
Level 6 Ceiling,W200x27,2.1,8.8
Level 6 Ceiling,W310x39,10.4,12.0
Level 7 Ceiling,W200x27,2.1,8.8
Level 7 Ceiling,W310x39,10.4,12.0
Level 8 Ceiling,W200x27,2.1,8.8
Level 8 Ceiling,W310x39,10.4,12.0
Level 9 Ceiling,W200x27,2.1,8.8
Level 9 Ceiling,W310x39,10.4,12.0
Level 10 Ceiling,W200x27,2.1,8.8
Level 10 Ceiling,W310x39,10.4,12.0
Level 11 Ceiling,W200x27,2.1,8.8
Level 11 Ceiling,W310x39,10.4,12.0
Level 12 Ceiling,W200x27,2.1,8.8
Level 12 Ceiling,W310x39,10.4,12.0
Level 13 Ceiling,W200x27,2.1,8.8
Level 13 Ceiling,W310x39,10.4,12.0
Level 14 Ceiling,W200x27,2.1,8.8
Level 14 Ceiling,W310x39,10.4,12.0
Level 15 Ceiling,W200x27,2.1,8.8
Level 15 Ceiling,W310x39,10.4,12.0
Level 16 Ceiling,W200x27,2.1,8.8
Level 16 Ceiling,W310x39,10.4,12.0
Level 17 Ceiling,W200x27,2.1,8.8
Level 17 Ceiling,W310x39,10.4,12.0
Level 18 Ceiling,W200x27,2.1,8.8
Level 18 Ceiling,W310x39,10.4,12.0
Level 19 Ceiling,W200x27,2.1,8.8
Level 19 Ceiling,W310x39,10.4,12.0
Level 20 Ceiling,W200x27,2.1,8.8
Level 20 Ceiling,W310x39,10.4,12.0
Level 21 Ceiling,W200x27,2.1,8.8
Level 21 Ceiling,W310x39,10.4,12.0
Level 22 Ceiling,W200x27,2.1,8.8
Level 22 Ceiling,W310x39,10.4,12.0
Level 23 Ceiling,W200x27,2.1,8.8
Level 23 Ceiling,W310x39,10.4,12.0
Level 24 Ceiling,W200x27,2.1,8.8
Level 24 Ceiling,W310x39,10.4,12.0
Level 25 Ceiling,W200x27,2.1,8.8
Level 25 Ceiling,W310x39,10.4,12.0
Level 26 Ceiling,W200x27,2.1,8.8
Level 26 Ceiling,W310x39,10.4,12.0
Level 27 Ceiling,W200x27,2.1,8.8
Level 27 Ceiling,W310x39,10.4,12.0
Level 28 Ceiling,W200x27,2.1,8.8
Level 28 Ceiling,W310x39,10.4,12.0
Level 29 Ceiling,W200x27,2.1,8.8
Level 29 Ceiling,W310x39,10.4,12.0
Level 30 Ceiling,W200x27,2.1,8.8
Level 30 Ceiling,W310x39,10.4,12.0
Level 31 Ceiling,W200x27,2.1,8.8
Level 31 Ceiling,W310x39,10.4,12.0
Level 32 ceiling,W200x27,2.1,8.8
Level 32 ceiling,W310x39,10.4,12.0
