story,section,min_length,max_length
Level 1,W360x45,8.8,8.8
Level 1,W460x52,10.4,12.0
Level 2,W360x45,8.8,8.8
Level 2,W460x52,10.4,12.0
Level 3,W360x45,8.8,8.8
Level 3,W460x52,10.4,12.0
Level 4,W360x45,8.8,8.8
Level 4,W460x52,10.4,12.0
Level 5,W360x45,8.8,8.8
Level 5,W460x52,10.4,12.0
Level 6,W360x45,8.8,8.8
Level 6,W460x52,10.4,12.0
Level 7,W360x45,8.8,8.8
Level 7,W460x52,10.4,12.0
Level 8,W360x45,8.8,8.8
Level 8,W460x52,10.4,12.0
Level 9,W360x45,8.8,8.8
Level 9,W460x52,10.4,12.0
Level 10,W360x45,8.8,8.8
Level 10,W460x52,10.4,12.0
Level 11,W360x45,8.8,8.8
Level 11,W460x52,10.4,12.0
Level 12,W360x45,8.8,8.8
Level 12,W460x52,10.4,12.0
Level 13,W360x45,8.8,8.8
Level 13,W460x52,10.4,12.0
Level 14,W360x45,8.8,8.8
Level 14,W460x52,10.4,12.0
Level 15,W360x45,8.8,8.8
Level 15,W460x52,10.4,12.0
Level 16,W360x45,8.8,8.8
Level 16,W460x52,10.4,12.0
Level 17,W360x45,8.8,8.8
Level 17,W460x52,10.4,12.0
Level 18,W360x45,8.8,8.8
Level 18,W460x52,10.4,12.0
Level 19,W360x45,8.8,8.8
Level 19,W460x52,10.4,12.0
Level 20,W360x45,8.8,8.8
Level 20,W460x52,10.4,12.0
Level 21,W360x45,8.8,8.8
Level 21,W460x52,10.4,12.0
Level 22,W360x45,8.8,8.8
Level 22,W460x52,10.4,12.0
Level 23,W360x45,8.8,8.8
Level 23,W460x52,10.4,12.0
Level 24,W360x45,8.8,8.8
Level 24,W460x52,10.4,12.0
Level 25,W360x45,8.8,8.8
Level 25,W460x52,10.4,12.0
Level 26,W360x45,8.8,8.8
Level 26,W460x52,10.4,12.0
Level 27,W360x45,8.8,8.8
Level 27,W460x52,10.4,12.0
Level 28,W360x45,8.8,8.8
Level 28,W460x52,10.4,12.0
Level 29,W360x45,8.8,8.8
Level 29,W460x52,10.4,12.0
Level 30,W360x45,8.8,8.8
Level 30,W460x52,10.4,12.0
Level 31,W360x45,8.8,8.8
Level 31,W460x52,10.4,12.0
Level 32,W360x45,8.8,8.8
Level 32,W460x52,10.4,12.0
