story,section,min_length,max_length
Level 1,W200x27,2.1,3.5
Level 1,W360x39,8.8,8.8
Level 1,W360x45,10.4,12.0
Level 2,W200x27,2.1,3.5
Level 2,W360x39,8.8,8.8
Level 2,W360x45,10.4,12.0
Level 3,W200x27,2.1,3.5
Level 3,W360x39,8.8,8.8
Level 3,W360x45,10.4,12.0
Level 4,W200x27,2.1,3.5
Level 4,W360x39,8.8,8.8
Level 4,W360x45,10.4,12.0
Level 5,W200x27,2.1,3.5
Level 5,W360x39,8.8,8.8
Level 5,W360x45,10.4,12.0
Level 6,W200x27,2.1,3.5
Level 6,W360x39,8.8,8.8
Level 6,W360x45,10.4,12.0
Level 7,W200x27,2.1,3.5
Level 7,W360x39,8.8,8.8
Level 7,W360x45,10.4,12.0
Level 8,W200x27,2.1,3.5
Level 8,W360x39,8.8,8.8
Level 8,W360x45,10.4,12.0
Level 9,W200x27,2.1,3.5
Level 9,W360x39,8.8,8.8
Level 9,W360x45,10.4,12.0
Level 10,W200x27,2.1,3.5
Level 10,W360x39,8.8,8.8
Level 10,W360x45,10.4,12.0
Level 11,W200x27,2.1,3.5
Level 11,W360x39,8.8,8.8
Level 11,W360x45,10.4,12.0
Level 12,W200x27,2.1,3.5
Level 12,W360x39,8.8,8.8
Level 12,W360x45,10.4,12.0
Level 13,W200x27,2.1,3.5
Level 13,W360x39,8.8,8.8
Level 13,W360x45,10.4,12.0
Level 14,W200x27,2.1,3.5
Level 14,W360x39,8.8,8.8
Level 14,W360x45,10.4,12.0
Level 15,W200x27,2.1,3.5
Level 15,W360x39,8.8,8.8
Level 15,W360x45,10.4,12.0
Level 16,W200x27,2.1,3.5
Level 16,W360x39,8.8,8.8
Level 16,W360x45,10.4,12.0
Level 17,W200x27,2.1,3.5
Level 17,W360x39,8.8,8.8
Level 17,W360x45,10.4,12.0
Level 18,W200x27,2.1,3.5
Level 18,W360x39,8.8,8.8
Level 18,W360x45,10.4,12.0
Level 19,W200x27,2.1,3.5
Level 19,W360x39,8.8,8.8
Level 19,W360x45,10.4,12.0
Level 20,W200x27,2.1,3.5
Level 20,W360x39,8.8,8.8
Level 20,W360x45,10.4,12.0
Level 21,W200x27,2.1,3.5
Level 21,W360x39,8.8,8.8
Level 21,W360x45,10.4,12.0
Level 22,W200x27,2.1,3.5
Level 22,W360x39,8.8,8.8
Level 22,W360x45,10.4,12.0
Level 23,W200x27,2.1,3.5
Level 23,W360x39,8.8,8.8
Level 23,W360x45,10.4,12.0
Level 24,W200x27,2.1,3.5
Level 24,W360x39,8.8,8.8
Level 24,W360x45,10.4,12.0
Level 25,W200x27,2.1,3.5
Level 25,W360x39,8.8,8.8
Level 25,W360x45,10.4,12.0
Level 26,W200x27,2.1,3.5
Level 26,W360x39,8.8,8.8
Level 26,W360x45,10.4,12.0
Level 27,W200x27,2.1,3.5
Level 27,W360x39,8.8,8.8
Level 27,W360x45,10.4,12.0
Level 28,W200x27,2.1,3.5
Level 28,W360x39,8.8,8.8
Level 28,W360x45,10.4,12.0
Level 29,W200x27,2.1,3.5
Level 29,W360x39,8.8,8.8
Level 29,W360x45,10.4,12.0
Level 30,W200x27,2.1,3.5
Level 30,W360x39,8.8,8.8
Level 30,W360x45,10.4,12.0
Level 31,W200x27,2.1,3.5
Level 31,W360x39,8.8,8.8
Level 31,W360x45,10.4,12.0
Level 32,W200x27,2.1,3.5
Level 32,W360x39,8.8,8.8
Level 32,W360x45,10.4,12.0
