ground_level (m),-0.6
Level,Floor Elev (m),Ceiling Level,Ceiling Elev (m),vertical_con (m),module (m)
Level 1,0.0,Level 1 Ceiling,3.5,0.45,3.5
Level 2,3.95,Level 2 Ceiling,7.45,0.45,3.5
Level 3,7.9,Level 3 Ceiling,11.4,0.45,3.5
Level 4,11.85,Level 4 Ceiling,15.35,0.45,3.5
Level 5,15.8,Level 5 Ceiling,19.3,0.45,3.5
Level 6,19.75,Level 6 Ceiling,23.25,0.45,3.5
Level 7,23.7,Level 7 Ceiling,27.2,0.45,3.5
Level 8,27.65,Level 8 Ceiling,31.15,0.45,3.5
Level 9,31.6,Level 9 Ceiling,35.1,0.45,3.5
Level 10,35.55,Level 10 Ceiling,39.05,0.45,3.5
Level 11,39.5,Level 11 Ceiling,43.0,0.45,3.5
Level 12,43.45,Level 12 Ceiling,46.95,0.45,3.5
Level 13,47.4,Level 13 Ceiling,50.9,0.45,3.5
Level 14,51.35,Level 14 Ceiling,54.85,0.45,3.5
Level 15,55.3,Level 15 Ceiling,58.8,0.45,3.5
Level 16,59.25,Level 16 Ceiling,62.75,0.45,3.5
Level 17,63.2,Level 17 Ceiling,66.7,0.45,3.5
Level 18,67.15,Level 18 Ceiling,70.65,0.45,3.5
Level 19,71.1,Level 19 Ceiling,74.6,0.45,3.5
Level 20,75.05,Level 20 Ceiling,78.55,0.45,3.5
Level 21,79.0,Level 21 Ceiling,82.5,0.45,3.5
Level 22,82.95,Level 22 Ceiling,86.45,0.45,3.5
Level 23,86.9,Level 23 Ceiling,90.4,0.45,3.5
Level 24,90.85,Level 24 Ceiling,94.35,0.45,3.5
Level 25,94.8,Level 25 Ceiling,98.3,0.45,3.5
Level 26,98.75,Level 26 Ceiling,102.25,0.45,3.5
Level 27,102.7,Level 27 Ceiling,106.2,0.45,3.5
Level 28,106.65,Level 28 Ceiling,110.15,0.45,3.5
Level 29,110.6,Level 29 Ceiling,114.1,0.45,3.5
Level 30,114.55,Level 30 Ceiling,118.05,0.45,3.5
Level 31,118.5,Level 31 Ceiling,122.0,0.45,3.5
Level 32,122.45,Level 32 ceiling,125.95,0.0,3.5
